code,income_group,region,currency,wb_code,
AFG,Low income,South Asia,Afghan afghani,AF,
ALB,Upper middle income,Europe & Central Asia,Albanian lek,AL,
DZA,Upper middle income,Middle East & North Africa,Algerian dinar,DZ,
ASM,Upper middle income,East Asia & Pacific,U.S. dollar,AS,
ADO,High income: nonOECD,Europe & Central Asia,Euro,AD,
AGO,Upper middle income,Sub-Saharan Africa,Angolan kwanza,AO,
ATG,High income: nonOECD,Latin America & Caribbean,East Caribbean dollar,AG,
ARG,High income: nonOECD,Latin America & Caribbean,Argentine peso,AR,
ARM,Lower middle income,Europe & Central Asia,Armenian dram,AM,
ABW,High income: nonOECD,Latin America & Caribbean,Aruban florin,AW,
AUS,High income: OECD,East Asia & Pacific,Australian dollar,AU,
AUT,High income: OECD,Europe & Central Asia,Euro,AT,
AZE,Upper middle income,Europe & Central Asia,New Azeri manat,AZ,
BHS,High income: nonOECD,Latin America & Caribbean,Bahamian dollar,BS,
BHR,High income: nonOECD,Middle East & North Africa,Bahraini dinar,BH,
BGD,Lower middle income,South Asia,Bangladeshi taka,BD,
BRB,High income: nonOECD,Latin America & Caribbean,Barbados dollar,BB,
BLR,Upper middle income,Europe & Central Asia,Belarusian rubel,BY,
BEL,High income: OECD,Europe & Central Asia,Euro,BE,
BLZ,Upper middle income,Latin America & Caribbean,Belize dollar,BZ,
BEN,Low income,Sub-Saharan Africa,West African CFA franc,BJ,
BMU,High income: nonOECD,North America,Bermuda dollar,BM,
BTN,Lower middle income,South Asia,Bhutanese ngultrum,BT,
BOL,Lower middle income,Latin America & Caribbean,Bolivian Boliviano,BO,
BIH,Upper middle income,Europe & Central Asia,Bosnia and Herzegovina convertible mark,BA,
BWA,Upper middle income,Sub-Saharan Africa,Botswana pula,BW,
BRA,Upper middle income,Latin America & Caribbean,Brazilian real,BR,
BRN,High income: nonOECD,East Asia & Pacific,Brunei dollar,BN,
BGR,Upper middle income,Europe & Central Asia,Bulgarian lev,BG,
BFA,Low income,Sub-Saharan Africa,West African CFA franc,BF,
BDI,Low income,Sub-Saharan Africa,Burundi franc,BI,
CPV,Lower middle income,Sub-Saharan Africa,Cabo Verde escudo,CV,
KHM,Low income,East Asia & Pacific,Cambodian riel,KH,
CMR,Lower middle income,Sub-Saharan Africa,Central African CFA franc,CM,
CAN,High income: OECD,North America,Canadian dollar,CA,
CYM,High income: nonOECD,Latin America & Caribbean,Cayman Islands dollar,KY,
CAF,Low income,Sub-Saharan Africa,Central African CFA franc,CF,
TCD,Low income,Sub-Saharan Africa,Central African CFA franc,TD,
CHI,High income: nonOECD,Europe & Central Asia,Pound sterling,JG,
CHL,High income: OECD,Latin America & Caribbean,Chilean peso,CL,
CHN,Upper middle income,East Asia & Pacific,Chinese yuan,CN,
COL,Upper middle income,Latin America & Caribbean,Colombian peso,CO,
COM,Low income,Sub-Saharan Africa,Comorian franc,KM,
ZAR,Low income,Sub-Saharan Africa,Congolese franc,ZR,
COG,Lower middle income,Sub-Saharan Africa,Central African CFA franc,CG,
CRI,Upper middle income,Latin America & Caribbean,Costa Rican colon,CR,
CIV,Lower middle income,Sub-Saharan Africa,West African CFA franc,CI,
HRV,High income: nonOECD,Europe & Central Asia,Croatian kuna,HR,
CUB,Upper middle income,Latin America & Caribbean,Cuban peso,CU,
CUW,High income: nonOECD,Latin America & Caribbean,Netherlands Antillean guilder,CW,
CYP,High income: nonOECD,Europe & Central Asia,Euro,CY,
CZE,High income: OECD,Europe & Central Asia,Czech koruna,CZ,
DNK,High income: OECD,Europe & Central Asia,Danish krone,DK,
DJI,Lower middle income,Middle East & North Africa,Djibouti franc,DJ,
DMA,Upper middle income,Latin America & Caribbean,East Caribbean dollar,DM,
DOM,Upper middle income,Latin America & Caribbean,Dominican peso,DO,
ECU,Upper middle income,Latin America & Caribbean,U.S. dollar,EC,
EGY,Lower middle income,Middle East & North Africa,Egyptian pound,EG,
SLV,Lower middle income,Latin America & Caribbean,U.S. dollar,SV,
GNQ,High income: nonOECD,Sub-Saharan Africa,Central African CFA franc,GQ,
ERI,Low income,Sub-Saharan Africa,Eritrean nakfa,ER,
EST,High income: OECD,Europe & Central Asia,Euro,EE,
ETH,Low income,Sub-Saharan Africa,Ethiopian birr,ET,
FRO,High income: nonOECD,Europe & Central Asia,Danish krone,FO,
FJI,Upper middle income,East Asia & Pacific,Fijian dollar,FJ,
FIN,High income: OECD,Europe & Central Asia,Euro,FI,
FRA,High income: OECD,Europe & Central Asia,Euro,FR,
PYF,High income: nonOECD,East Asia & Pacific,CFP franc,PF,
GAB,Upper middle income,Sub-Saharan Africa,Central African CFA franc,GA,
GMB,Low income,Sub-Saharan Africa,Gambian dalasi,GM,
GEO,Lower middle income,Europe & Central Asia,Georgian lari,GE,
DEU,High income: OECD,Europe & Central Asia,Euro,DE,
GHA,Lower middle income,Sub-Saharan Africa,New Ghanaian cedi,GH,
GRC,High income: OECD,Europe & Central Asia,Euro,GR,
GRL,High income: nonOECD,Europe & Central Asia,Danish krone,GL,
GRD,Upper middle income,Latin America & Caribbean,East Caribbean dollar,GD,
GUM,High income: nonOECD,East Asia & Pacific,U.S. dollar,GU,
GTM,Lower middle income,Latin America & Caribbean,Guatemalan quetzal,GT,
GIN,Low income,Sub-Saharan Africa,Guinean franc,GN,
GNB,Low income,Sub-Saharan Africa,West African CFA franc,GW,
GUY,Lower middle income,Latin America & Caribbean,Guyana dollar,GY,
HTI,Low income,Latin America & Caribbean,Haitian gourde,HT,
HND,Lower middle income,Latin America & Caribbean,Honduran lempira,HN,
HKG,High income: nonOECD,East Asia & Pacific,Hong Kong dollar,HK,
HUN,High income: OECD,Europe & Central Asia,Hungarian forint,HU,
ISL,High income: OECD,Europe & Central Asia,Iceland krona,IS,
IND,Lower middle income,South Asia,Indian rupee,IN,
IDN,Lower middle income,East Asia & Pacific,Indonesian rupiah,ID,
IRN,Upper middle income,Middle East & North Africa,Iranian rial,IR,
IRQ,Upper middle income,Middle East & North Africa,Iraqi dinar,IQ,
IRL,High income: OECD,Europe & Central Asia,Euro,IE,
IMY,High income: nonOECD,Europe & Central Asia,Pound sterling,IM,
ISR,High income: OECD,Middle East & North Africa,Israeli new shekel,IL,
ITA,High income: OECD,Europe & Central Asia,Euro,IT,
JAM,Upper middle income,Latin America & Caribbean,Jamaican dollar,JM,
JPN,High income: OECD,East Asia & Pacific,Japanese yen,JP,
JOR,Upper middle income,Middle East & North Africa,Jordanian dinar,JO,
KAZ,Upper middle income,Europe & Central Asia,Kazakh tenge,KZ,
KEN,Lower middle income,Sub-Saharan Africa,Kenyan shilling,KE,
KIR,Lower middle income,East Asia & Pacific,Australian dollar,KI,
PRK,Low income,East Asia & Pacific,Democratic People's Republic of Korean won,KP,
KOR,High income: OECD,East Asia & Pacific,Korean won,KR,
KSV,Lower middle income,Europe & Central Asia,Euro,XK,
KWT,High income: nonOECD,Middle East & North Africa,Kuwaiti dinar,KW,
KGZ,Lower middle income,Europe & Central Asia,Kyrgyz som,KG,
LAO,Lower middle income,East Asia & Pacific,Lao kip,LA,
LVA,High income: nonOECD,Europe & Central Asia,Euro,LV,
LBN,Upper middle income,Middle East & North Africa,Lebanese pound,LB,
LSO,Lower middle income,Sub-Saharan Africa,Lesotho loti,LS,
LBR,Low income,Sub-Saharan Africa,U.S. dollar,LR,
LBY,Upper middle income,Middle East & North Africa,Libyan dinar,LY,
LIE,High income: nonOECD,Europe & Central Asia,Swiss franc,LI,
LTU,High income: nonOECD,Europe & Central Asia,Euro,LT,
LUX,High income: OECD,Europe & Central Asia,Euro,LU,
MAC,High income: nonOECD,East Asia & Pacific,Macao pataca,MO,
MKD,Upper middle income,Europe & Central Asia,Macedonian denar,MK,
MDG,Low income,Sub-Saharan Africa,Malagasy ariary,MG,
MWI,Low income,Sub-Saharan Africa,Malawi kwacha,MW,
MYS,Upper middle income,East Asia & Pacific,Malaysian ringgit,MY,
